"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"00700.HK","20250630","509.0","511.5","503.0","503.0","513.0","-10.0","-1.95","18464531.0","9333594435.005"
"00700.HK","20250702","508.0","508.5","500.0","501.5","503.0","-1.5","-0.3","18203168.0","9151284157.185"
"00700.HK","20250703","500.0","503.5","493.8","501.0","501.5","-0.5","-0.1","18956331.0","9443903354.256"
"00700.HK","20250704","493.0","501.5","493.0","496.8","501.0","-4.2","-0.84","14658173.0","7281073913.76"
"00700.HK","20250707","495.2","502.0","494.0","502.0","496.8","5.2","1.05","11631687.0","5811563401.308"
"00700.HK","20250708","505.0","505.0","500.0","504.5","502.0","2.5","0.5","13172857.0","6624679645.435"
"00700.HK","20250709","504.0","504.0","495.0","497.6","504.5","-6.9","-1.37","17820435.0","8865465138.442"
"00700.HK","20250710","497.6","499.6","494.2","496.6","497.6","-1.0","-0.2","14032556.0","6966268294.306"
"00700.HK","20250711","497.0","505.0","496.6","496.6","496.6","0.0","0.0","19225560.0","9638599671.36"
"00700.HK","20250714","497.0","501.5","496.0","500.0","496.6","3.4","0.68","11704663.0","5842438558.551"
"00700.HK","20250715","502.5","518.0","500.0","517.5","500.0","17.5","3.5","27446891.0","13994302488.24"
"00700.HK","20250716","520.0","526.0","516.0","516.5","517.5","-1.0","-0.19","23250693.0","12100620325.21"
"00700.HK","20250717","519.5","519.5","511.0","517.0","516.5","0.5","0.1","13735794.0","7090524506.055"
"00700.HK","20250718","525.0","525.0","516.5","519.0","517.0","2.0","0.39","13781113.0","7169387742.39"
"00700.HK","20250721","522.5","522.5","514.5","521.5","519.0","2.5","0.48","13273287.0","6881569649.85"
"00700.HK","20250722","521.5","526.0","519.0","526.0","521.5","4.5","0.86","17600260.0","9212230395.71"
"00700.HK","20250723","530.0","552.0","527.0","552.0","526.0","26.0","4.94","46744850.0","25434771177.92"
"00700.HK","20250724","553.5","560.0","548.0","557.0","552.0","5.0","0.91","24180342.0","13418168013.545"
"00700.HK","20250725","552.0","555.0","546.0","550.5","557.0","-6.5","-1.17","19886923.0","10940833555.4"
"00700.HK","20250728","550.5","558.0","546.5","555.5","550.5","5.0","0.91","14661199.0","8117934809.51"
"00700.HK","20250729","551.5","556.5","546.0","555.0","555.5","-0.5","-0.09","16847424.0","9283870276.0"
"00700.HK","20250730","550.0","556.0","542.5","549.0","555.0","-6.0","-1.08","19362555.0","10639648067.405"
"00700.HK","20250731","547.0","559.0","545.0","550.0","549.0","1.0","0.18","20453269.0","11289881284.28"
"00700.HK","20250801","551.5","554.5","533.5","535.0","550.0","-15.0","-2.73","21203861.0","11508370653.555"
"00700.HK","20250804","536.0","551.5","533.0","550.0","535.0","15.0","2.8","17340007.0","9463004774.091"
"00700.HK","20250805","554.5","559.0","549.0","559.0","550.0","9.0","1.64","17347823.0","9630857457.285"
"00700.HK","20250806","560.0","570.0","558.0","568.5","559.0","9.5","1.7","20737133.0","11754214981.54"
"00700.HK","20250807","571.0","572.0","560.5","567.0","568.5","-1.5","-0.26","16940382.0","9595241622.71"
"00700.HK","20250808","567.0","568.5","557.5","561.0","567.0","-6.0","-1.06","13305719.0","7471482286.475"
"00700.HK","20250811","561.0","562.5","553.5","561.0","561.0","0.0","0.0","11790350.0","6586953996.78"
"00700.HK","20250812","557.5","564.5","556.0","559.5","561.0","-1.5","-0.27","13827897.0","7729499696.3"
"00700.HK","20250813","568.0","586.0","566.0","586.0","559.5","26.5","4.74","37596415.0","21761779473.775"
"00700.HK","20250814","600.0","600.0","589.0","590.0","586.0","4.0","0.68","36339315.0","21598286488.39"
"00700.HK","20250815","587.0","596.5","584.5","592.0","590.0","2.0","0.34","22176876.0","13122452831.515"
"00700.HK","20250818","594.0","596.0","587.0","587.0","592.0","-5.0","-0.84","17590658.0","10403063174.7"
"00700.HK","20250819","588.0","597.0","583.0","592.5","587.0","5.5","0.94","16359474.0","9665673921.63"
"00700.HK","20250820","589.0","594.5","585.5","590.5","592.5","-2.0","-0.34","15952765.0","9407128004.9"
"00700.HK","20250821","590.5","597.0","589.5","593.0","590.5","2.5","0.42","14290178.0","8479961596.09"
"00700.HK","20250822","599.0","606.5","595.5","600.0","593.0","7.0","1.18","19378950.0","11636897211.8"
"00700.HK","20250825","608.5","621.0","608.0","614.5","600.0","14.5","2.42","25694519.0","15801902006.99"
"00700.HK","20250826","612.0","618.0","609.5","609.5","614.5","-5.0","-0.81","20656474.0","12655282002.89"
"00700.HK","20250827","613.0","614.5","595.0","599.0","609.5","-10.5","-1.72","21263402.0","12841741312.57"
"00700.HK","20250828","595.0","599.0","590.0","594.0","599.0","-5.0","-0.83","21712370.0","12897917091.31"
"00700.HK","20250829","595.5","605.0","594.0","596.5","594.0","2.5","0.42","18234935.0","10915508651.96"
"00700.HK","20250901","605.0","610.0","601.5","605.0","596.5","8.5","1.42","15958837.0","9659266534.547"
"00700.HK","20250902","605.5","608.5","599.0","600.5","605.0","-4.5","-0.74","14808157.0","8931988423.57"
"00700.HK","20250903","606.5","613.0","596.0","598.5","600.5","-2.0","-0.33","15523985.0","9342307314.8"
"00700.HK","20250904","605.0","605.0","591.0","592.5","598.5","-6.0","-1.0","18003934.0","10709235662.48"
"00700.HK","20250905","599.5","609.0","595.5","605.5","592.5","13.0","2.19","19047729.0","11491491838.86"
"00700.HK","20250908","605.5","619.0","605.0","617.5","605.5","12.0","1.98","21815489.0","13369898978.15"
"00700.HK","20250909","620.0","628.0","617.5","627.0","617.5","9.5","1.54","19871460.0","12402857764.42"
"00700.HK","20250910","630.0","639.0","628.0","633.5","627.0","6.5","1.04","19193376.0","12190312543.486"
"00700.HK","20250911","633.0","633.0","624.0","629.5","633.5","-4.0","-0.63","18191860.0","11453335654.055"
"00700.HK","20250912","645.0","649.0","642.0","643.5","629.5","14.0","2.22","20780375.0","13422728502.375"
"00700.HK","20250915","646.0","648.5","637.5","643.5","643.5","0.0","0.0","16371242.0","10535685021.07"
"00700.HK","20250916","647.0","649.5","640.5","645.0","643.5","1.5","0.23","13339685.0","8609542624.2"
"00700.HK","20250917","646.5","663.5","645.0","661.5","645.0","16.5","2.56","22349048.0","14682542772.065"
"00700.HK","20250918","662.0","664.5","635.5","642.0","661.5","-19.5","-2.95","29989898.0","19432788713.29"
"00700.HK","20250919","647.0","647.0","638.0","642.5","642.0","0.5","0.08","20805608.0","13371042984.66"
"00700.HK","20250922","642.0","643.5","634.0","641.0","642.5","-1.5","-0.23","12899662.0","8240895170.564"
"00700.HK","20250923","641.5","643.5","627.0","635.5","641.0","-5.5","-0.86","15293080.0","9697688016.383"
"00700.HK","20250924","633.5","651.0","628.0","648.5","635.5","13.0","2.05","18440788.0","11854753855.24"
"00700.HK","20250925","651.0","659.0","643.5","650.0","648.5","1.5","0.23","17384258.0","11337641855.68"
"00700.HK","20250926","645.0","653.0","640.0","644.0","650.0","-6.0","-0.92","19504951.0","12617897920.0"
"00700.HK","20250929","649.5","664.5","647.5","660.0","644.0","16.0","2.48","20489556.0","13492727746.295"
"00700.HK","20250930","658.0","666.5","657.5","663.0","660.0","3.0","0.45","20610633.0","13653530623.8"
"00700.HK","20251002","667.5","683.0","665.5","676.5","663.0","13.5","2.04","17137745.0","11602077362.78"
